Country,Men,Women,Average,Age gap,Age ratio,Year,Source
Algeria (more info),33.2,30.8,32.0,2.4,1.08,2020,[2]
Angola,26.7,23.4,25.1,3.3,1.14,2009,[3]
Benin[a],24.4,19.9,22.2,4.5,1.23,2012,[3]
Botswana,30.9,26.4,28.7,4.5,1.17,2001,[2]
Burkina Faso[a],26.3,19.9,23.1,6.4,1.32,2018,[3]
Burundi[a],24.6,21.3,23.0,3.3,1.15,2019,[3]
Cape Verde[a],35.2,32.0,33.6,3.2,1.1,2019,[3]
Cameroon[a] (more info),26.0,19.6,22.8,6.4,1.33,2017,[3]
Central African Republic,23.7,20.3,22.0,3.4,1.17,2019,[2]
Chad,25.3,19.1,22.2,6.2,1.32,2011,[2]
Comoros[a],25.6,20.4,23.0,5.2,1.25,1996,[3]
Congo[a],26.1,22.0,24.1,4.1,1.19,2016,[3]
Ivory Coast[a],26.7,19.5,23.1,7.2,1.37,2005,[3]
DR Congo[a],26.2,21.0,23.6,5.2,1.25,2019,[3]
Djibouti,31.3,27.4,29.4,3.9,1.14,2009,[2]
Egypt (more info),31.0,25.0,28.0,6.0,1.24,2019,[4]
Equatorial Guinea,26.1,20.5,23.3,5.6,1.27,2011,[2]
Eritrea,29.1,20.6,24.9,8.5,1.41,2002,[2]
Eswatini,30.5,26.5,28.5,4.0,1.15,2007,[2]
Ethiopia,26.8,22.3,24.6,4.5,1.2,2019,[2]
Gabon[a],25.5,21.4,23.5,4.1,1.19,2007,[3]
Gambia,30.7,22.7,26.7,8.0,1.35,2019,[2]
Ghana[a] (more info),25.7,21.7,23.7,4.0,1.18,2008,[3]
Guinea,28.0,19.8,23.9,8.2,1.41,2014,[2]
Guinea-Bissau,28.1,20.9,24.5,7.2,1.34,2000,[2]
Kenya[a],29.6,25.6,27.6,4.0,1.16,2018-2019,[3]
Lesotho[a],25.5,20.9,23.2,4.6,1.22,2009,[3]
Liberia[a],23.0,19.0,21.0,4.0,1.21,2009,[3]
Libya,32.0,30.0,31.0,2.0,1.07,2003,[5]
Madagascar[a],25.5,22.8,24.2,2.7,1.12,2019,[3]
Malawi[a],25.3,20.9,23.1,4.4,1.21,2019,[3]
Mali[a],26.0,19.1,22.6,6.9,1.36,2018,[2]
Mauritania[a] (more info),27.1,19.2,23.2,7.9,1.41,2008-2009,[3]
Mauritius,36.4,32.4,34.4,4.0,1.12,2019,[3]
Morocco,31.3,25.7,28.5,5.6,1.22,2019,[6]
Mozambique,27.6,22.8,25.2,4.8,1.21,2020,[2]
Namibia[a],31.7,29.2,30.5,2.5,1.09,2006-2007,[3]
Niger,22.8,19.2,21.0,3.6,1.19,2017,[2]
Nigeria (more info),24.8,19.2,22.0,5.6,1.29,2018,[2]
Rwanda[a],24.7,20.6,22.7,4.1,1.2,2010,[3]
São Tomé and Príncipe[a],24.1,19.1,21.6,5.0,1.26,2008-2009,[3]
Senegal,31.4,23.8,27.6,7.6,1.32,2020,[2]
Seychelles,35.3,31.1,33.2,4.2,1.14,2011,[2]
Somalia,26.5,20.6,23.6,5.9,1.29,1982,[2]
South Africa[b] (more info),35.0,31.0,33.0,4.0,1.13,2020,[7]
South Sudan,27.6,20.4,24.0,7.2,1.35,2019,[2]
Sudan (more info),28.9,21.9,25.4,7.0,1.32,2014,[2]
Tanzania[a],23.8,19.0,21.4,4.8,1.25,2010,[3]
Togo,27.6,22.3,25.0,5.3,1.24,2014,[2]
Tunisia,32.9,28.2,30.6,4.7,1.17,2014,[2]
Uganda[a],24.4,20.2,22.3,4.2,1.21,2018,[3]
Zambia[a],25.7,20.7,23.2,5.0,1.24,2011,[3]
Zimbabwe[a],24.6,19.9,22.3,4.7,1.24,2010-2011,[3]
