Country,Men,Women,Average,Age gap,Age ratio,Year,Source
Afghanistan,25.6,22.4,24.0,3.2,1.14,2020,[2]
Armenia,30.5,27.1,28.8,3.4,1.13,2019,[15]
Azerbaijan,28.1,24.0,26.1,4.1,1.17,2019,[15]
Bahrain,33.6,29.2,31.4,4.4,1.15,2018,[2]
Bangladesh[a] (more info),27.2,24.8,26.0,2.4,1.1,2019,[3]
Bhutan,25.4,22.8,24.1,2.6,1.11,2007,[2]
Brunei,27.3,25.1,26.2,2.2,1.09,1991,[2]
Cambodia[a] (more info),23.4,21.0,22.2,2.4,1.11,2010,[3]
China (more info),28.8,25.6,27.2,3.2,1.13,2021,[16]
Hong Kong,32.2,30.6,31.4,1.6,1.05,2022,[17]
India (more info),30.0,27.2,28.6,2.8,1.1,2020,[18]
Indonesia (more info),25.4,21.0,23.2,4.4,1.21,2020,[2]
Iran (more info),28.0,24.0,26.0,4.0,1.17,2017,[19]
Iraq,28.2,25.3,26.8,2.9,1.11,2004,[2]
Israel (more info),31.6,29.2,30.4,2.4,1.08,2019,[15]
Japan (more info),31.1,29.7,30.4,1.4,1.05,2023,[20]
Jordan (more info),31.3,26.6,29.0,4.7,1.18,2021,[21]
Kazakhstan[a],27.6,25.0,26.3,2.6,1.1,2019,[15]
Kuwait,29.9,28.7,29.3,1.2,1.04,2018,[2]
Kyrgyzstan,27.2,23.6,25.4,3.6,1.15,2019,[15]
Laos,23.3,20.5,21.9,2.8,1.14,2012,[2]
Lebanon,34.4,30.4,32.4,4.0,1.13,2019,[22]
Malaysia (more info),31.0,29.4,30.2,1.6,1.05,2022,[23]
Maldives[a],24.1,21.6,22.9,2.5,1.12,2009,[3]
Mongolia[a],29.0,26.0,27.5,3.0,1.12,2019,[24]
Myanmar[a] (more info),24.6,21.1,22.9,3.5,1.17,2009,[3]
Nepal[a],23.6,20.1,21.9,3.5,1.17,2016,[2]
North Korea (more info),29.0,25.5,27.3,3.5,1.14,2008,[2]
Oman,32.1,28.9,30.5,3.2,1.11,2009,[2]
Pakistan (more info),28.4,25.6,27.0,2.8,1.11,2019,[2]
Palestine[c] (more info),31.4,26.2,28.8,5.2,1.2,2019,[3]
Philippines (more info),28.2,25.4,26.8,2.8,1.11,2018,[25]
Qatar,31.3,29.4,30.4,1.9,1.06,2018,[2]
Saudi Arabia (more info),29.3,25.9,27.6,3.4,1.13,2019,[26]
Singapore (more info),30.1,29.5,29.8,0.6,1.02,2023,[27]
Sri Lanka,27.2,23.4,25.3,3.8,1.16,2012,[2]
South Korea (more info),33.86,31.55,32.7,2.31,1.07,2024,[28]
Syria,31.8,26.3,29.1,5.5,1.21,2016,[29]
Taiwan (more info),32.6,30.7,31.7,1.9,1.06,2020,[30]
Tajikistan,26.2,22.1,24.2,4.1,1.19,2019,[15]
Thailand[a],30.8,27.6,29.2,3.2,1.12,2021,[3]
Timor-Leste[a],25.0,20.6,22.8,4.4,1.21,2009-2010,[3]
Turkey (more info),29.0,27.0,28.0,2.0,1.07,2020,[15]
Turkmenistan,24.6,23.3,24.0,1.3,1.06,2006,[3]
United Arab Emirates (more info),26.8,25.3,26.1,1.5,1.06,2005,[2]
Uzbekistan,26.6,22.7,24.7,3.9,1.17,2019,[15]
Vietnam (more info),29.3,25.1,27.2,4.2,1.17,2023,[31]
Yemen,26.1,23.0,24.6,3.1,1.13,2013,[2]
