Country,Men,Women,Average,Age gap,Age ratio,Year,Source
Albania,30.9,27.8,29.4,3.1,1.11,2019,[15]
Austria (more info),33.2,30.8,32.0,2.4,1.08,2019,[15]
Belarus,28.3,26.1,27.2,2.2,1.08,2019,[15]
Belgium,32.3,30.0,31.2,2.3,1.08,2015,[15]
Bosnia and Herzegovina,29.5,26.8,28.2,2.7,1.1,2019,[15]
Bulgaria (more info),32.0,29.1,30.6,2.9,1.1,2019,[15]
Croatia,31.5,28.9,30.2,2.6,1.09,2019,[15]
Cyprus (more info),30.7,29.6,30.2,1.1,1.04,2019,[15]
Czech Republic (more info),32.2,29.8,31.0,2.4,1.08,2017,[15]
Denmark,36.2,33.4,34.8,2.8,1.08,2019,[15]
Estonia,32.3,30.4,31.4,1.9,1.06,2019,[15]
Finland (more info),35.2,33.2,34.2,2.0,1.06,2019,[15]
France (more info),34.4,32.8,33.6,1.6,1.05,2019,[2]
Germany (more info),35.6,34.4,35.0,1.2,1.03,2019,[15]
Greece (more info),32.9,30.1,31.5,2.8,1.09,2017,[15]
Georgia,31.9,29.4,30.7,2.5,1.09,2021,[15]
Hungary,32.8,30.1,31.5,2.7,1.09,2019,[15]
Iceland,34.6,32.7,33.7,1.9,1.06,2011,[15]
Ireland (more info),37.8,35.0,36.4,2.8,1.08,2020,[32]
Italy (more info),35.2,33.6,34.4,1.6,1.05,2018,[15]
Latvia,32.7,30.6,31.7,2.1,1.07,2019,[15]
Liechtenstein,33.9,31.2,32.6,2.7,1.09,2019,[15]
Lithuania,30.7,28.3,29.5,2.4,1.08,2019,[15]
Luxembourg,34.3,31.8,33.1,2.5,1.08,2019,[15]
Malta,30.5,28.5,29.5,2.0,1.07,2011,[15]
Moldova,28.9,26.0,27.5,2.9,1.11,2019,[15]
Monaco,33.4,30.4,31.9,3.0,1.1,2008,[2]
Montenegro,31.1,28.0,29.6,3.1,1.11,2019,[15]
Netherlands,39.2,37.6,38.4,1.6,1.04,2020,[15]
North Macedonia,29.6,26.9,28.3,2.7,1.1,2019,[15]
Norway,38.4,36.8,37.6,1.6,1.04,2023,[33]
Poland (more info),32.2,29.4,30.8,2.8,1.1,2020,[15]
Portugal,33.9,32.4,33.2,1.5,1.05,2019,[15]
Romania,31.6,28.3,30.0,3.3,1.12,2019,[15]
Russia (more info),29.2,26.0,27.6,3.2,1.12,2020,[15]
San Marino,33.5,30.7,32.1,2.8,1.09,2014,[2]
Serbia,31.4,28.6,30.0,2.8,1.1,2019,[15]
Slovakia (more info),31.9,29.4,30.7,2.5,1.09,2019,[15]
Slovenia,32.8,30.7,31.8,2.1,1.07,2019,[15]
Spain (more info),40.8,38.8,39.8,2.0,1.05,2020,[15]
Sweden,36.3,33.9,35.1,2.4,1.07,2019,[15]
Switzerland (more info),32.8,30.4,31.6,2.4,1.08,2019,[15]
Ukraine (more info),31.2,29.2,30.2,2.0,1.07,2020,[15]
United Kingdom (more info),31.0,29.0,30.0,2.0,1.07,2022,[15]
