Country,Men,Women,Average,Age Gap,Age Ratio,Year
Algeria,33.2,30.8,32,2.4,1.08,2020
Angola,26.7,23.4,25.1,3.3,1.14,2009
Benin,24.4,19.9,22.2,4.5,1.23,2012
Botswana,30.9,26.4,28.7,4.5,1.17,2001
Burkina Faso,26.3,19.9,23.1,6.4,1.32,2018
Burundi,24.6,21.3,23,3.3,1.15,2019
Cape Verde,35.2,32.0,33.6,3.2,1.1,2019
Cameroon,26.0,19.6,22.8,6.4,1.33,2017
Central African Republic,23.7,20.3,22,3.4,1.17,2019
Chad,25.3,19.1,22.2,6.2,1.32,2011
Comoros,25.6,20.4,23,5.2,1.25,1996
Congo,26.1,22.0,24.1,4.1,1.19,2016
Ivory Coast,26.7,19.5,23.1,7.2,1.37,2005
DR Congo,26.2,21.0,23.6,5.2,1.25,2019
Djibouti,31.3,27.4,29.4,3.9,1.14,2009
Egypt,31.0,25.0,28,6,1.24,2019
Equatorial Guinea,26.1,20.5,23.3,5.6,1.27,2011
Eritrea,29.1,20.6,24.9,8.5,1.41,2002
Eswatini,30.5,26.5,28.5,4,1.15,2007
Ethiopia,26.8,22.3,24.6,4.5,1.2,2019
Gabon,25.5,21.4,23.5,4.1,1.19,2007
Gambia,30.7,22.7,26.7,8,1.35,2019
Ghana,25.7,21.7,23.7,4,1.18,2008
Guinea,28.0,19.8,23.9,8.2,1.41,2014
Guinea-Bissau,28.1,20.9,24.5,7.2,1.34,2000
Kenya,29.6,25.6,27.6,4,1.16,2018-2019
Lesotho,25.5,20.9,23.2,4.6,1.22,2009
Liberia,23.0,19.0,21,4,1.21,2009
Libya,32.0,30.0,31,2,1.07,2003
Madagascar,25.5,22.8,24.2,2.7,1.12,2019
Malawi,25.3,20.9,23.1,4.4,1.21,2019
Mali,26.0,19.1,22.6,6.9,1.36,2018
Mauritania,27.1,19.2,23.2,7.9,1.41,2008-2009
Mauritius,36.4,32.4,34.4,4,1.12,2019
Morocco,31.3,25.7,28.5,5.6,1.22,2019
Mozambique,27.6,22.8,25.2,4.8,1.21,2020
Namibia,31.7,29.2,30.5,2.5,1.09,2006-2007
Niger,22.8,19.2,21,3.6,1.19,2017
Nigeria,24.8,19.2,22,5.6,1.29,2018
Rwanda,24.7,20.6,22.7,4.1,1.2,2010
São Tomé and Príncipe,24.1,19.1,21.6,5,1.26,2008-2009
Senegal,31.4,23.8,27.6,7.6,1.32,2020
Seychelles,35.3,31.1,33.2,4.2,1.14,2011
Somalia,26.5,20.6,23.6,5.9,1.29,1982
South Africa,35.0,31.0,33,4,1.13,2020
South Sudan,27.6,20.4,24,7.2,1.35,2019
Sudan,28.9,21.9,25.4,7,1.32,2014
Tanzania,23.8,19.0,21.4,4.8,1.25,2010
Togo,27.6,22.3,25,5.3,1.24,2014
Tunisia,32.9,28.2,30.6,4.7,1.17,2014
Uganda,24.4,20.2,22.3,4.2,1.21,2018
Zambia,25.7,20.7,23.2,5,1.24,2011
Zimbabwe,24.6,19.9,22.3,4.7,1.24,2010-2011
