Country,Men,Women,Average,Age Gap,Age Ratio,Year
Albania,30.9,27.8,29.4,3.1,1.11,2019
Austria,33.2,30.8,32,2.4,1.08,2019
Belarus,28.3,26.1,27.2,2.2,1.08,2019
Belgium,32.3,30.0,31.2,2.3,1.08,2015
Bosnia and Herzegovina,29.5,26.8,28.2,2.7,1.1,2019
Bulgaria,32.0,29.1,30.6,2.9,1.1,2019
Croatia,31.5,28.9,30.2,2.6,1.09,2019
Cyprus,30.7,29.6,30.2,1.1,1.04,2019
Czech Republic,32.2,29.8,31,2.4,1.08,2017
Denmark,36.2,33.4,34.8,2.8,1.08,2019
Estonia,32.3,30.4,31.4,1.9,1.06,2019
Finland,35.2,33.2,34.2,2,1.06,2019
France,34.4,32.8,33.6,1.6,1.05,2019
Germany,35.6,34.4,35,1.2,1.03,2019
Greece,32.9,30.1,31.5,2.8,1.09,2017
Georgia,31.9,29.4,30.7,2.5,1.09,2021
Hungary,32.8,30.1,31.5,2.7,1.09,2019
Iceland,34.6,32.7,33.7,1.9,1.06,2011
Ireland,37.8,35.0,36.4,2.8,1.08,2020
Italy,35.2,33.6,34.4,1.6,1.05,2018
Latvia,32.7,30.6,31.7,2.1,1.07,2019
Liechtenstein,33.9,31.2,32.6,2.7,1.09,2019
Lithuania,30.7,28.3,29.5,2.4,1.08,2019
Luxembourg,34.3,31.8,33.1,2.5,1.08,2019
Malta,30.5,28.5,29.5,2,1.07,2011
Moldova,28.9,26.0,27.5,2.9,1.11,2019
Monaco,33.4,30.4,31.9,3,1.1,2008
Montenegro,31.1,28.0,29.6,3.1,1.11,2019
Netherlands,39.2,37.6,38.4,1.6,1.04,2020
North Macedonia,29.6,26.9,28.3,2.7,1.1,2019
Norway,38.4,36.8,37.6,1.6,1.04,2023
Poland,32.2,29.4,30.8,2.8,1.1,2020
Portugal,33.9,32.4,33.2,1.5,1.05,2019
Romania,31.6,28.3,30,3.3,1.12,2019
Russia,29.2,26.0,27.6,3.2,1.12,2020
San Marino,33.5,30.7,32.1,2.8,1.09,2014
Serbia,31.4,28.6,30,2.8,1.1,2019
Slovakia,31.9,29.4,30.7,2.5,1.09,2019
Slovenia,32.8,30.7,31.8,2.1,1.07,2019
Spain,40.8,38.8,39.8,2,1.05,2020
Sweden,36.3,33.9,35.1,2.4,1.07,2019
Switzerland,32.8,30.4,31.6,2.4,1.08,2019
Ukraine,31.2,29.2,30.2,2,1.07,2020
United Kingdom,31.0,29.0,30,2,1.07,2022
