Country,Men,Women,Average,Age Gap,Age Ratio,Year
Afghanistan,25.6,22.4,24,3.2,1.14,2020
Armenia,30.5,27.1,28.8,3.4,1.13,2019
Azerbaijan,28.1,24.0,26.1,4.1,1.17,2019
Bahrain,33.6,29.2,31.4,4.4,1.15,2018
Bangladesh,27.2,24.8,26,2.4,1.1,2019
Bhutan,25.4,22.8,24.1,2.6,1.11,2007
Brunei,27.3,25.1,26.2,2.2,1.09,1991
Cambodia,23.4,21.0,22.2,2.4,1.11,2010
China,28.8,25.6,27.2,3.2,1.13,2021
Hong Kong,32.2,30.6,31.4,1.6,1.05,2022
India,30.0,27.2,28.6,2.8,1.1,2020
Indonesia,25.4,21.0,23.2,4.4,1.21,2020
Iran,28.0,24.0,26,4,1.17,2017
Iraq,28.2,25.3,26.8,2.9,1.11,2004
Israel,31.6,29.2,30.4,2.4,1.08,2019
Japan,31.1,29.7,30.4,1.4,1.05,2023
Jordan,31.3,26.6,29,4.7,1.18,2021
Kazakhstan,27.6,25.0,26.3,2.6,1.1,2019
Kuwait,29.9,28.7,29.3,1.2,1.04,2018
Kyrgyzstan,27.2,23.6,25.4,3.6,1.15,2019
Laos,23.3,20.5,21.9,2.8,1.14,2012
Lebanon,34.4,30.4,32.4,4,1.13,2019
Malaysia,31.0,29.4,30.2,1.6,1.05,2022
Maldives,24.1,21.6,22.9,2.5,1.12,2009
Mongolia,29.0,26.0,27.5,3,1.12,2019
Myanmar,24.6,21.1,22.9,3.5,1.17,2009
Nepal,23.6,20.1,21.9,3.5,1.17,2016
North Korea,29.0,25.5,27.3,3.5,1.14,2008
Oman,32.1,28.9,30.5,3.2,1.11,2009
Pakistan,28.4,25.6,27,2.8,1.11,2019
Palestine,31.4,26.2,28.8,5.2,1.2,2019
Philippines,28.2,25.4,26.8,2.8,1.11,2018
Qatar,31.3,29.4,30.4,1.9,1.06,2018
Saudi Arabia,29.3,25.9,27.6,3.4,1.13,2019
Singapore,30.1,29.5,29.8,0.6,1.02,2023
Sri Lanka,27.2,23.4,25.3,3.8,1.16,2012
South Korea,39.0,37.0,38,2,1.05,2022
Syria,31.8,26.3,29.1,5.5,1.21,2016
Taiwan,32.6,30.7,31.7,1.9,1.06,2020
Tajikistan,26.2,22.1,24.2,4.1,1.19,2019
Thailand,30.8,27.6,29.2,3.2,1.12,2021
Timor-Leste,25.0,20.6,22.8,4.4,1.21,2009-2010
Turkey,29.0,27.0,28,2,1.07,2020
Turkmenistan,24.6,23.3,24,1.3,1.06,2006
United Arab Emirates,26.8,25.3,26.1,1.5,1.06,2005
Uzbekistan,26.6,22.7,24.7,3.9,1.17,2019
Vietnam,29.3,25.1,27.2,4.2,1.17,2023
Yemen,26.1,23.0,24.6,3.1,1.13,2013
